Id,ZipCode,City,StateCode,StateName
1,1107,Springfield,MA,Massachusetts
1,1108,Springfield,MA,Massachusetts
1,1109,Springfield,MA,Massachusetts
1,1118,Springfield,MA,Massachusetts
1,1119,Springfield,MA,Massachusetts
1,1128,Springfield,MA,Massachusetts
1,1129,Springfield,MA,Massachusetts
1,1151,Indian Orchard,MA,Massachusetts
1,1199,Springfield,MA,Massachusetts
1,1201,Pittsfield,MA,Massachusetts
1,1220,Adams,MA,Massachusetts
1,1222,Ashley Falls,MA,Massachusetts
1,1223,Becket,MA,Massachusetts
1,1224,Berkshire,MA,Massachusetts
1,1225,Cheshire,MA,Massachusetts
1,1226,Dalton,MA,Massachusetts
1,1229,Glendale,MA,Massachusetts
1,1230,Great Barrington,MA,Massachusetts
1,1235,Hinsdale,MA,Massachusetts
1,1236,Housatonic,MA,Massachusetts
1,1237,Lanesborough,MA,Massachusetts
1,1238,Lee,MA,Massachusetts
1,1240,Lenox,MA,Massachusetts
1,1242,Lenox Dale,MA,Massachusetts
1,1243,Middlefield,MA,Massachusetts
1,1244,Mill River,MA,Massachusetts
1,1245,Monterey,MA,Massachusetts
1,1247,North Adams,MA,Massachusetts
1,1253,Otis,MA,Massachusetts
1,1254,Richmond,MA,Massachusetts
1,1255,Sandisfield,MA,Massachusetts
1,1256,Savoy,MA,Massachusetts
1,1257,Sheffield,MA,Massachusetts
1,1258,South Egremont,MA,Massachusetts
1,1259,Southfield,MA,Massachusetts
1,1260,South Lee,MA,Massachusetts
1,1262,Stockbridge,MA,Massachusetts
1,1264,Tyringham,MA,Massachusetts
1,1266,West Stockbridge,MA,Massachusetts
1,1267,Williamstown,MA,Massachusetts
1,1270,Windsor,MA,Massachusetts
1,1301,Greenfield,MA,Massachusetts
1,1330,Ashfield,MA,Massachusetts
1,1331,Athol,MA,Massachusetts
1,1337,Bernardston,MA,Massachusetts
1,1338,Buckland,MA,Massachusetts
1,1339,Charlemont,MA,Massachusetts
1,1340,Colrain,MA,Massachusetts
1,1341,Conway,MA,Massachusetts
1,1342,Deerfield,MA,Massachusetts
1,1343,Drury,MA,Massachusetts
1,1344,Erving,MA,Massachusetts
1,1346,Heath,MA,Massachusetts
1,1347,Lake Pleasant,MA,Massachusetts
1,1349,Millers Falls,MA,Massachusetts
1,1350,Monroe Bridge,MA,Massachusetts
1,1351,Montague,MA,Massachusetts
1,1354,Gill,MA,Massachusetts
1,1355,New Salem,MA,Massachusetts
1,1360,Northfield,MA,Massachusetts
1,1364,Orange,MA,Massachusetts
1,1366,Petersham,MA,Massachusetts
1,1367,Rowe,MA,Massachusetts
1,1368,Royalston,MA,Massachusetts
1,1370,Shelburne Falls,MA,Massachusetts
1,1373,South Deerfield,MA,Massachusetts
1,1375,Sunderland,MA,Massachusetts
1,1376,Turners Falls,MA,Massachusetts
1,1378,Warwick,MA,Massachusetts
1,1379,Wendell,MA,Massachusetts
1,1420,Fitchburg,MA,Massachusetts
1,1430,Ashburnham,MA,Massachusetts
1,1431,Ashby,MA,Massachusetts
1,1432,Ayer,MA,Massachusetts
1,1434,Devens,MA,Massachusetts
1,1436,Baldwinville,MA,Massachusetts
1,1438,East Templeton,MA,Massachusetts
1,1440,Gardner,MA,Massachusetts
1,1450,Groton,MA,Massachusetts
1,1451,Harvard,MA,Massachusetts
1,1452,Hubbardston,MA,Massachusetts
1,1453,Leominster,MA,Massachusetts
1,1460,Littleton,MA,Massachusetts
1,1462,Lunenburg,MA,Massachusetts
1,1463,Pepperell,MA,Massachusetts
1,1464,Shirley,MA,Massachusetts
1,1467,Still River,MA,Massachusetts
1,1468,Templeton,MA,Massachusetts
1,1469,Townsend,MA,Massachusetts
1,1473,Westminster,MA,Massachusetts
1,1474,West Townsend,MA,Massachusetts
1,1475,Winchendon,MA,Massachusetts
1,1501,Auburn,MA,Massachusetts
1,1503,Berlin,MA,Massachusetts
1,1504,Blackstone,MA,Massachusetts
1,1505,Boylston,MA,Massachusetts
1,1506,Brookfield,MA,Massachusetts
1,1507,Charlton,MA,Massachusetts
1,1510,Clinton,MA,Massachusetts
1,1515,East Brookfield,MA,Massachusetts
1,1516,Douglas,MA,Massachusetts
1,1518,Fiskdale,MA,Massachusetts
1,1519,Grafton,MA,Massachusetts
1,1520,Holden,MA,Massachusetts
1,1521,Holland,MA,Massachusetts
1,1522,Jefferson,MA,Massachusetts
1,1523,Lancaster,MA,Massachusetts
1,1524,Leicester,MA,Massachusetts
1,1525,Linwood,MA,Massachusetts
1,1527,Millbury,MA,Massachusetts
1,1529,Millville,MA,Massachusetts
1,1531,New Braintree,MA,Massachusetts
1,1532,Northborough,MA,Massachusetts
1,1534,Northbridge,MA,Massachusetts
1,1535,North Brookfield,MA,Massachusetts
1,1536,North Grafton,MA,Massachusetts
1,1537,North Oxford,MA,Massachusetts
1,1540,Oxford,MA,Massachusetts
1,1541,Princeton,MA,Massachusetts
1,1542,Rochdale,MA,Massachusetts
1,1543,Rutland,MA,Massachusetts
1,1545,Shrewsbury,MA,Massachusetts
1,1550,Southbridge,MA,Massachusetts
1,1560,South Grafton,MA,Massachusetts
1,1561,South Lancaster,MA,Massachusetts
1,1562,Spencer,MA,Massachusetts
1,1564,Sterling,MA,Massachusetts
1,1566,Sturbridge,MA,Massachusetts
1,1568,Upton,MA,Massachusetts
1,1569,Uxbridge,MA,Massachusetts
1,1570,Webster,MA,Massachusetts
1,1571,Dudley,MA,Massachusetts
1,1581,Westborough,MA,Massachusetts
1,1583,West Boylston,MA,Massachusetts
1,1585,West Brookfield,MA,Massachusetts
1,1588,Whitinsville,MA,Massachusetts
1,1590,Sutton,MA,Massachusetts
1,1602,Worcester,MA,Massachusetts
1,1603,Worcester,MA,Massachusetts
1,1604,Worcester,MA,Massachusetts
1,1605,Worcester,MA,Massachusetts
1,1606,Worcester,MA,Massachusetts
1,1607,Worcester,MA,Massachusetts
1,1608,Worcester,MA,Massachusetts
1,1609,Worcester,MA,Massachusetts
1,1610,Worcester,MA,Massachusetts
1,1611,Cherry Valley,MA,Massachusetts
1,1612,Paxton,MA,Massachusetts
1,1701,Framingham,MA,Massachusetts
1,1702,Framingham,MA,Massachusetts
1,1718,Acton,MA,Massachusetts
1,1719,Boxborough,MA,Massachusetts
1,1720,Acton,MA,Massachusetts
1,1721,Ashland,MA,Massachusetts
1,1730,Bedford,MA,Massachusetts
1,1731,Hanscom Afb,MA,Massachusetts
1,1740,Bolton,MA,Massachusetts
1,1741,Carlisle,MA,Massachusetts
1,1742,Concord,MA,Massachusetts
1,1745,Fayville,MA,Massachusetts
1,1746,Holliston,MA,Massachusetts
1,1747,Hopedale,MA,Massachusetts
